"label","group","provenance","lo_value","hi_value","lo_icer","hi_icer","spread"
"Survival: OS pembro scale","Survival","ci",19.7687,28.0034,2787424.02808988,557086.684410088,2230337.34367979
"Survival: OS placebo scale","Survival","ci",16.4663,20.9741,715486.183229989,1679718.83910999,964232.655880006
"Utility: progression-free (u_PF)","Utility","range",0.5,0.83,1123716.42550716,782514.006084269,341202.419422896
"Survival: OS placebo shape","Survival","ci",1.0735,1.8834,1227348.51562452,921781.078414965,305567.437209554
"Survival: OS pembro shape","Survival","ci",1.1099,1.9714,805549.878528218,1044183.11492873,238633.236400508
"Utility: post-progression (u_PD)","Utility","range",0.4,0.79,1026408.67812473,816425.009614483,209983.668510245
"Survival: PFS placebo scale","Survival","ci",7.8782,10.7462,933891.819251591,1045180.68997837,111288.870726777
"Survival: PFS pembro shape","Survival","ci",0.7969,1.5499,916633.471844265,1011271.53850485,94638.0666605884
"Survival: PFS pembro scale","Survival","ci",9.7694,13.6379,932697.147025674,1012749.18988141,80052.0428557355
"Bevacizumab price: biosimilar vs brand","Drug price","ci",3392.75776397515,10478.8397515528,981116.497542373,1050349.07630253,69232.5787601557
"Survival: PFS placebo shape","Survival","ci",1.1219,1.9908,1002399.09700881,975067.788905776,27331.3081030368
"Pembrolizumab price: WAC vs ASP+6%","Drug price","ci",24544,23890.4,981116.497542373,956397.234580158,24719.2629622156
"Bevacizumab use rate: pembro arm","AE/use rate","ci",0.678813199204361,0.775395422791289,971425.576595894,989777.775667483,18352.1990715892
"Bevacizumab use rate: placebo arm","AE/use rate","ci",0.684359134742831,0.780483008708288,988414.383966945,974617.082808827,13797.3011581171
"Febrile neutropenia (FN proxy): pembro arm","AE/use rate","ci",0.145717824919922,0.230520162842342,975365.131392413,987981.917144454,12616.7857520406
"Febrile neutropenia (FN proxy): placebo arm","AE/use rate","ci",0.101961779922481,0.177186404248369,986064.63263522,974872.807130766,11191.8255044539
"Grade >=3 anemia: pembro arm","AE/use rate","ci",0.0877504981716043,0.158794397937269,980054.162940791,982488.795386507,2434.63244571595
"Adrenal insufficiency: pembro arm","AE/use rate","ci",0.0106357850586399,0.0444574043238,980380.971355824,982594.354298566,2213.38294274174
"Grade >=3 anemia: placebo arm","AE/use rate","ci",0.0538150528701367,0.113476815051362,981966.423408586,979921.850089074,2044.5733195123
"Adrenal insufficiency: placebo arm","AE/use rate","ci",0,0.0119358731307339,981116.497542373,980335.380062835,781.117479537963
"Adrenal insufficiency cost","AE cost","conv",10044.8,15067.2,980830.185101252,981402.809983495,572.624882243457
"Febrile neutropenia cost","AE cost","ci",27611.4739466553,29478.5260533447,980877.329093187,981355.66599156,478.336898373906
"Grade >=3 anemia cost","AE cost","ci",3035,4818,980376.001481568,980748.968847787,372.967366219498
"Paclitaxel price","Drug price","conv",64.6272,96.9408,980954.958563159,981278.036521588,323.077958428534
"Hypothyroidism annual cost","AE cost","conv",186.186,345.774,981065.27287425,981167.722210496,102.449336245889
