"label","group","provenance","lo_value","hi_value","lo_icer","hi_icer","spread"
"Survival: OS pembro scale","Survival","recentred",19.5927611671858,27.7541734190498,2734735.2310105,564534.097562596,2170201.1334479
"Survival: OS placebo scale","Survival","recentred",16.52430888219,21.0479893434433,723150.345984123,1673211.99948725,950061.65350313
"Survival: OS pembro shape","Survival","recentred",0.99508527203959,1.76746653329025,758131.804540234,1107378.38375359,349246.579213354
"Utility: progression-free (u_PF)","Utility","range",0.5,0.83,1129780.20044939,789147.288164545,340632.912284847
"Survival: OS placebo shape","Survival","recentred",1.08699837341684,1.90708219514976,1219275.29840378,930811.616388466,288463.682015309
"Utility: post-progression (u_PD)","Utility","range",0.4,0.79,1034263.96463686,819007.892660867,215256.071975992
"Survival: PFS pembro shape","Survival","recentred",0.71582488971615,1.39221608303559,908667.218656356,1038959.77545629,130292.556799936
"Survival: PFS placebo scale","Survival","recentred",7.88044704245113,10.74926506151,936982.674988166,1056805.29498728,119822.619999114
"Survival: PFS placebo shape","Survival","recentred",0.757308160354884,1.34383553403557,1040442.05496504,959828.941524692,80613.1134403499
"Bevacizumab price: biosimilar vs brand","Drug price","ci",3392.75776397515,10478.8397515528,987671.746421164,1056154.03350199,68482.2870808234
"Survival: PFS pembro scale","Survival","recentred",10.1411022318445,14.1567893757726,953027.481216866,1005755.69733795,52728.2161210811
"Bevacizumab use rate: pembro arm","AE/use rate","ci",0.678813199204361,0.775395422791289,977425.443974847,996829.397766344,19403.9537914961
"Bevacizumab use rate: placebo arm","AE/use rate","ci",0.684359134742831,0.780483008708288,995544.088233215,980660.7282463,14883.3599869153
"Febrile neutropenia (FN proxy): pembro arm","AE/use rate","ci",0.145717824919922,0.230520162842342,982017.798635027,994420.877488112,12403.0788530852
"Febrile neutropenia (FN proxy): placebo arm","AE/use rate","ci",0.101961779922481,0.177186404248369,992536.068518602,981533.813509297,11002.2550093047
"Pembrolizumab price: WAC vs ASP+6%","Drug price","ci",24544,24830.29,987671.746421164,998582.856474104,10911.1100529396
"Grade >=3 anemia: pembro arm","AE/use rate","ci",0.0877504981716043,0.158794397937269,986627.405961498,989020.799873066,2393.39391156787
"Adrenal insufficiency: pembro arm","AE/use rate","ci",0.0106357850586399,0.0444574043238,986948.678797637,989124.570796632,2175.89199899521
"Grade >=3 anemia: placebo arm","AE/use rate","ci",0.0538150528701367,0.113476815051362,988507.275988289,986497.334264524,2009.94172376452
"Adrenal insufficiency: placebo arm","AE/use rate","ci",0,0.0119358731307339,987671.746421164,986903.859743634,767.88667752943
"Adrenal insufficiency cost","AE cost","conv",10044.8,15067.2,987390.283625992,987953.209216335,562.925590343308
"Febrile neutropenia cost","AE cost","ci",27611.4739466553,29478.5260533447,987436.62907886,987906.863763468,470.23468460748
"Grade >=3 anemia cost","AE cost","ci",3035,4818,986943.7931046,987310.443037773,366.649933173321
"Paclitaxel price","Drug price","conv",64.6272,96.9408,987511.628216254,987831.864626075,320.236409821315
"Hypothyroidism annual cost","AE cost","conv",186.186,345.774,987617.949673859,987725.54316847,107.593494610861
