"price_mult","price_per_dose","pct_reduction","icer"
1,24544,0,981116.497542373
0.95,23317,5,934703.585199609
0.9,22090,10,888290.672856844
0.85,20862,15,841877.760514079
0.8,19635,20,795464.848171315
0.75,18408,25,749051.93582855
0.7,17181,30,702639.023485785
0.65,15954,35,656226.11114302
0.6,14726,40,609813.198800256
0.55,13499,45,563400.286457491
0.5,12272,50,516987.374114726
0.45,11045,55,470574.461771961
0.4,9818,60,424161.549429197
0.35,8590,65,377748.637086432
0.3,7363,70,331335.724743667
0.25,6136,75,284922.812400903
0.2,4909,80,238509.900058138
0.15,3682,85,192096.987715373
0.1,2454,90,145684.075372608
0.0499999999999999,1227,95,99271.1630298434
0,0,100,52858.2506870787
