"wtp","prob_ce"
0,0
5000,0
10000,0
15000,0
20000,0
25000,0
30000,0
35000,0
40000,0
45000,0
50000,0
55000,0
60000,0
65000,0
70000,0
75000,0
80000,0
85000,0
90000,0
95000,0
1e+05,0
105000,0
110000,0
115000,0
120000,0
125000,0
130000,0
135000,0
140000,0
145000,0
150000,0
155000,0
160000,0
165000,0
170000,0
175000,0
180000,0
185000,0
190000,0
195000,0
2e+05,0
205000,0
210000,0
215000,0
220000,0
225000,0
230000,0
235000,0
240000,0
245000,0
250000,0
255000,0
260000,0
265000,0
270000,0
275000,1e-04
280000,1e-04
285000,1e-04
290000,1e-04
295000,1e-04
3e+05,1e-04
305000,1e-04
310000,1e-04
315000,2e-04
320000,2e-04
325000,3e-04
330000,3e-04
335000,3e-04
340000,3e-04
345000,6e-04
350000,7e-04
355000,8e-04
360000,0.001
365000,0.0012
370000,0.0015
375000,0.0016
380000,0.0018
385000,0.002
390000,0.0022
395000,0.0028
4e+05,0.003
405000,0.0036
410000,0.004
415000,0.0045
420000,0.0049
425000,0.0059
430000,0.0069
435000,0.0082
440000,0.0094
445000,0.0099
450000,0.0108
455000,0.012
460000,0.0128
465000,0.015
470000,0.0164
475000,0.0177
480000,0.02
485000,0.0217
490000,0.0231
495000,0.0252
5e+05,0.0273
