"curve","time","at_risk","censored","events_in_interval","S"
"pfs_pembro",0,234,0,NA,1
"pfs_pembro",5,170,10,54,0.769230769230769
"pfs_pembro",10,87,18,75,0.429864253393665
"pfs_pembro",15,21,56,28,0.291517137358922
"pfs_pembro",20,5,68,4,0.23599006357627
"pfs_pembro",25,1,71,1,0.188792050861016
"pfs_pembro",30,0,72,0,0.188792050861016
"pfs_placebo",0,232,0,NA,1
"pfs_placebo",5,150,9,73,0.685344827586207
"pfs_placebo",10,64,21,74,0.347241379310345
"pfs_placebo",15,16,42,27,0.200748922413793
"pfs_placebo",20,3,50,5,0.138014884159483
"pfs_placebo",25,1,51,1,0.0920099227729885
"pfs_placebo",30,0,52,0,0.0920099227729885
"os_pembro",0,234,0,NA,1
"os_pembro",6,207,1,26,0.888888888888889
"os_pembro",12,161,1,46,0.691358024691358
"os_pembro",18,120,1,41,0.515297906602254
"os_pembro",24,49,39,33,0.373590982286635
"os_pembro",30,13,65,10,0.297347924677117
"os_pembro",36,3,74,1,0.274475007394262
"os_pembro",42,0,77,0,0.274475007394262
"os_placebo",0,232,0,NA,1
"os_placebo",6,200,1,31,0.866379310344828
"os_placebo",12,137,1,63,0.593469827586207
"os_placebo",18,89,2,47,0.389870689655172
"os_placebo",24,41,26,24,0.284737020534676
"os_placebo",30,10,48,9,0.222233772124626
"os_placebo",36,1,56,1,0.200010394912163
"os_placebo",42,0,57,0,0.200010394912163
