time,survival
0.0,1.0
0.161,0.9424
0.483,0.9377
0.804,0.9336
1.126,0.9282
1.448,0.9214
1.77,0.914
2.092,0.9079
2.413,0.9011
2.735,0.897
3.057,0.8861
3.379,0.8733
3.7,0.8659
4.022,0.8584
4.344,0.8469
4.666,0.836
4.988,0.8306
5.309,0.8259
5.631,0.8137
5.953,0.8062
6.275,0.7947
6.596,0.7879
6.918,0.7764
7.24,0.7737
7.562,0.7615
7.884,0.7487
8.205,0.7344
8.527,0.7188
8.849,0.6938
9.171,0.687
9.492,0.6626
9.814,0.6518
10.136,0.6382
10.458,0.6287
10.78,0.622
11.101,0.5982
11.423,0.5894
11.745,0.5752
12.067,0.5657
12.388,0.5413
12.71,0.517
13.032,0.5
13.354,0.4885
13.676,0.4837
13.997,0.4757
14.319,0.4655
14.641,0.4526
14.963,0.4451
15.284,0.4329
15.606,0.4255
15.928,0.4119
16.25,0.4085
16.572,0.3963
16.893,0.3861
17.215,0.3835
17.537,0.3794
17.859,0.3733
18.18,0.3659
18.502,0.3591
18.824,0.3509
19.146,0.3442
19.468,0.3435
19.789,0.3347
20.111,0.3259
20.433,0.3103
20.755,0.3055
21.076,0.2995
21.398,0.2967
21.72,0.2933
22.042,0.2906
22.364,0.2825
22.685,0.2805
23.007,0.2791
23.329,0.2676
23.651,0.2615
23.973,0.2588
24.294,0.2575
24.616,0.2555
24.938,0.25
25.26,0.2453
25.581,0.2412
25.903,0.2378
26.225,0.2338
26.547,0.231
26.869,0.231
27.19,0.2283
27.512,0.2283
27.834,0.2263
28.156,0.2141
28.477,0.206
28.799,0.1951
29.121,0.1836
29.443,0.1795
29.765,0.1694
30.086,0.1694
30.408,0.1694
30.73,0.1667
31.052,0.164
31.373,0.1585
31.695,0.1558
32.017,0.1558
32.339,0.1558
32.661,0.1558
32.982,0.1477
33.304,0.1477
33.626,0.1382
33.948,0.1382
34.269,0.1382
34.591,0.1382
34.913,0.1382
35.235,0.1369
35.557,0.1274
35.878,0.1247
36.2,0.1165
36.522,0.1165
36.844,0.1165
37.165,0.0962
37.487,0.0962
37.809,0.0962
38.131,0.0962
38.453,0.0962
38.774,0.0962
39.096,0.0962
39.418,0.0718
39.74,0.0637
40.061,0.0637
40.383,0.0637
40.705,0.0637
41.027,0.0637
41.349,0.0637
41.67,0.0637
41.992,0.0637
42.314,0.0637
42.636,0.0637
42.957,0.0637
43.279,0.0637
43.601,0.0637
43.923,0.0637
44.245,0.0637
44.566,0.0637
44.888,0.0637
45.21,0.0637
45.532,0.0637
45.853,0.0637
46.175,0.0637
46.497,0.0637
46.819,0.0637
47.141,0.0637
47.462,0.0637
47.784,0.0637
