time,survival
0.0,1.0
0.161,0.9499
0.483,0.9499
0.804,0.9458
1.126,0.939
1.448,0.935
1.77,0.935
2.092,0.9343
2.413,0.9309
2.735,0.9214
3.057,0.9166
3.379,0.9106
3.7,0.8984
4.022,0.8943
4.344,0.8902
4.666,0.8808
4.988,0.8618
5.309,0.8395
5.631,0.8286
5.953,0.8185
6.275,0.8069
6.596,0.8001
6.918,0.7913
7.24,0.7839
7.562,0.771
7.884,0.7622
8.205,0.7547
8.527,0.7399
8.849,0.729
9.171,0.7127
9.492,0.6992
9.814,0.6897
10.136,0.6836
10.458,0.6721
10.78,0.6599
11.101,0.6511
11.423,0.6504
11.745,0.6369
12.067,0.624
12.388,0.6139
12.71,0.5996
13.032,0.5942
13.354,0.5793
13.676,0.5623
13.997,0.5583
14.319,0.5555
14.641,0.5501
14.963,0.5407
15.284,0.5264
15.606,0.5149
15.928,0.5027
16.25,0.4959
16.572,0.4858
16.893,0.4824
17.215,0.481
17.537,0.479
17.859,0.4729
18.18,0.4553
18.502,0.4458
18.824,0.437
19.146,0.4268
19.468,0.4187
19.789,0.4092
20.111,0.4058
20.433,0.4024
20.755,0.3936
21.076,0.3841
21.398,0.3747
21.72,0.3713
22.042,0.3618
22.364,0.3442
22.685,0.3306
23.007,0.3293
23.329,0.3238
23.651,0.3198
23.973,0.3157
24.294,0.3069
24.616,0.3062
24.938,0.3008
25.26,0.2995
25.581,0.2967
25.903,0.2838
26.225,0.2818
26.547,0.2805
26.869,0.2805
27.19,0.2737
27.512,0.2737
27.834,0.2683
28.156,0.2602
28.477,0.2602
28.799,0.2602
29.121,0.252
29.443,0.2506
29.765,0.2344
30.086,0.2344
30.408,0.2297
30.73,0.2208
31.052,0.2101
31.373,0.2033
31.695,0.2033
32.017,0.2033
32.339,0.2033
32.661,0.2033
32.982,0.2006
33.304,0.1978
33.626,0.1897
33.948,0.1897
34.269,0.1897
34.591,0.1897
34.913,0.1897
35.235,0.1897
35.557,0.1897
35.878,0.1897
36.2,0.1897
36.522,0.1762
36.844,0.1762
37.165,0.1762
37.487,0.1762
37.809,0.1762
38.131,0.1762
38.453,0.1762
38.774,0.1762
39.096,0.1762
39.418,0.1762
39.74,0.1762
40.061,0.1762
40.383,0.1762
40.705,0.1762
41.027,0.1762
41.349,0.1762
41.67,0.1762
41.992,0.1762
42.314,0.1762
42.636,0.1762
42.957,0.1762
43.279,0.1762
43.601,0.1762
43.923,0.1762
44.245,0.1762
44.566,0.1762
44.888,0.1762
45.21,0.1762
45.532,0.1762
45.853,0.1762
46.175,0.1762
46.497,0.1762
46.819,0.1762
47.141,0.1762
47.462,0.1762
47.784,0.1762
