time,survival
0.0,1.0
0.093,0.9458
0.279,0.939
0.464,0.9363
0.65,0.9336
0.836,0.9295
1.021,0.9228
1.207,0.9194
1.393,0.9194
1.764,0.9011
1.95,0.8848
2.135,0.8448
2.321,0.7967
2.507,0.7818
2.692,0.7764
2.878,0.7751
3.064,0.7751
3.249,0.7703
3.435,0.7629
3.621,0.7561
3.806,0.7507
3.992,0.748
4.178,0.7317
4.363,0.6816
4.549,0.6382
4.735,0.6274
4.92,0.6274
5.106,0.6274
5.292,0.622
5.477,0.6118
5.663,0.6098
5.849,0.5989
6.034,0.5867
6.22,0.5786
6.406,0.5623
6.591,0.4986
6.777,0.4702
6.963,0.4688
7.148,0.4648
7.334,0.4634
7.52,0.4566
7.705,0.4519
7.891,0.4444
8.077,0.4444
8.262,0.4322
8.448,0.4295
8.634,0.3957
8.819,0.359
9.005,0.3347
9.191,0.3252
9.376,0.3225
9.562,0.3157
9.748,0.313
9.933,0.3069
10.119,0.3022
10.305,0.2981
10.49,0.294
10.676,0.2846
10.862,0.2764
11.047,0.2486
11.233,0.229
11.419,0.2263
11.604,0.2209
11.79,0.2168
11.976,0.2154
12.161,0.2154
12.347,0.2087
12.533,0.2033
12.718,0.2019
12.904,0.2019
13.09,0.187
13.275,0.164
13.461,0.1491
13.647,0.1491
13.832,0.1491
14.018,0.1491
14.204,0.1491
14.39,0.1491
14.575,0.1491
14.761,0.1491
14.947,0.1436
15.132,0.1328
15.318,0.1301
15.504,0.1301
15.689,0.1301
15.875,0.1301
16.061,0.107
16.246,0.0989
16.432,0.0908
16.618,0.0908
16.803,0.0908
16.989,0.0908
17.175,0.0908
17.36,0.0908
17.546,0.0908
17.732,0.0908
17.917,0.0908
18.103,0.0908
18.289,0.0908
18.474,0.0908
18.66,0.0908
18.846,0.0908
19.031,0.0718
19.217,0.0718
19.403,0.0718
19.588,0.0718
19.774,0.0718
19.96,0.0718
20.145,0.0718
20.331,0.0718
20.517,0.0718
20.702,0.0718
20.888,0.0718
21.074,0.0718
21.259,0.0718
21.445,0.0718
21.631,0.0596
21.816,0.0474
22.002,0.0474
22.188,0.0474
22.373,0.0474
22.559,0.0474
22.745,0.0474
22.93,0.0474
23.116,0.0474
23.302,0.0474
23.487,0.0474
23.673,0.0474
23.859,0.0474
24.044,0.0474
24.23,0.0474
24.416,0.0474
24.601,0.0474
24.787,0.0474
24.973,0.0474
25.158,0.0474
25.344,0.0474
25.53,0.0474
25.715,0.0474
25.901,0.0474
26.087,0.0474
26.272,0.0474
26.458,0.0474
26.644,0.0474
26.829,0.0474
27.015,0.0474
27.201,0.0474
27.386,0.0474
27.572,0.0474
