time,survival
0.0,1.0
0.093,0.9499
0.279,0.9499
0.465,0.9472
0.652,0.9458
0.838,0.9377
1.024,0.9308
1.21,0.9268
1.396,0.9173
1.582,0.9106
1.768,0.9092
1.955,0.8997
2.141,0.878
2.327,0.8659
2.513,0.8604
2.699,0.8604
2.885,0.8523
3.072,0.8482
3.258,0.8428
3.444,0.8388
3.63,0.8347
3.816,0.8266
4.002,0.8157
4.188,0.7968
4.375,0.7642
4.561,0.7453
4.747,0.7344
4.933,0.729
5.119,0.7215
5.305,0.7141
5.492,0.7005
5.678,0.6965
5.864,0.6802
6.05,0.6748
6.236,0.6633
6.422,0.6314
6.608,0.5691
6.795,0.5461
6.981,0.5352
7.167,0.5352
7.353,0.5325
7.539,0.5271
7.725,0.5217
7.912,0.5163
8.098,0.5108
8.284,0.5094
8.47,0.5068
8.656,0.4851
8.842,0.4512
9.028,0.4268
9.215,0.4201
9.401,0.4173
9.587,0.4173
9.773,0.4133
9.959,0.4051
10.145,0.4011
10.332,0.3991
10.518,0.3943
10.704,0.3902
10.89,0.3577
11.076,0.3428
11.262,0.3279
11.448,0.3266
11.635,0.3266
11.821,0.3266
12.007,0.3266
12.193,0.3266
12.379,0.3238
12.565,0.313
12.752,0.313
12.938,0.3076
13.124,0.2696
13.31,0.252
13.496,0.248
13.682,0.2439
13.868,0.2412
14.055,0.2412
14.241,0.2412
14.427,0.2412
14.613,0.2344
14.799,0.2344
14.985,0.2344
15.172,0.229
15.358,0.229
15.544,0.2222
15.73,0.2222
15.916,0.2222
16.102,0.2033
16.289,0.1911
16.475,0.187
16.661,0.187
16.847,0.187
17.033,0.187
17.219,0.1829
17.405,0.1789
17.592,0.1789
17.778,0.1694
17.964,0.1694
18.15,0.1694
18.336,0.1694
18.522,0.1694
18.709,0.1694
18.895,0.168
19.081,0.1491
19.267,0.1491
19.453,0.1491
19.639,0.1491
19.825,0.1491
20.012,0.1491
20.198,0.1491
20.384,0.1491
20.57,0.1491
20.756,0.1382
20.942,0.1274
21.129,0.1274
21.315,0.1274
21.501,0.1274
21.687,0.1274
21.873,0.1111
22.059,0.1111
22.245,0.1016
22.432,0.1016
22.618,0.1016
22.804,0.1016
22.99,0.1016
23.176,0.1016
23.362,0.1016
23.549,0.1016
23.735,0.1016
23.921,0.1016
24.107,0.1016
24.293,0.1016
24.479,0.1016
24.665,0.1016
24.852,0.1016
25.038,0.1016
25.224,0.1016
25.41,0.1016
25.596,0.1016
25.782,0.1016
25.969,0.1016
26.155,0.1016
26.341,0.1016
26.527,0.1016
26.713,0.1016
26.899,0.1016
27.085,0.1016
27.272,0.1016
27.458,0.1016
27.644,0.1016
