param,value,claimed_source,pmid,doi,category,materiality,notes,verdict,hit,context
u_PF,0.61,Havrilesky 2009,19217148,10.1016/j.ygyno.2008.12.026,utility,high,RESOLVED 2026-08-03 Table 3 TTO mean - recurrent OC responding to chemo grade 3-4 tox. Matched to trial 68%/55% grade>=3 TRAE.,FOUND_EXACT,0.61,2 toxicity 16 0.56 0.22–0.86 0.50 0.21 0.67 0.03–0.97 0.60 0.31 Recurrent ovarian cancer – responding to chemotherapy/grade 3–4 toxicity 14 0.39 0.17–0.91 0.40 0.19 0.67 0.17–0.97 0.61 0.24 Recurrent ovarian cancer – responding to chemotherapy/grade 1–2 toxicity 15 0.43 0.22–0.89 0.44 0.20 0.50 0.03
u_PD,0.47,Havrilesky 2009,19217148,10.1016/j.ygyno.2008.12.026,utility,high,RESOLVED 2026-08-03 Table 3 TTO mean - recurrent OC progressive grade 3-4 tox.,FOUND_EXACT,0.47,therapy/grade 3–4 toxicity 15 0.39 0.06–0.9 0.37 0.22 0.50 0.03–0.97 0.49 0.36 Recurrent ovarian cancer – progressive/grade 3–4 toxicity 15 0.17 0.05–0.92 0.27 0.23 0.50 0.03–0.93 0.47 0.34 Recurrent ovarian cancer – progressive/grade 1–2 toxicity 16 0.37 0.02–0.80 0.36 0.20 0.42 0.03–0.93 0.40 0.33
u_irae_disutil,0.000,DELIBERATE,,,utility,medium,INTENTIONALLY ZERO - toxicity is embedded in the grade 3-4 Havrilesky state utilities; adding Courtney 0.017 on top would double-count. Same convention as Ball 2018.,N_A,,
c_fn,25176,Flanigan 2024,38777864,10.1007/s00520-024-08492-5,cost,high,Verified 2026-06-22 with exact quote - re-confirm,FOUND_EXACT,25176," identified from 6825 patients. Most episodes had a hospitalization (91.2%) and 86% of patients had ≥1 risk factor for FN. Overall, FN episodes had a mean (SD) FN-related cost of $25176 ($39943). Episodes with hospitalization had higher average FN-related costs versus those without hospitalization ("
c_anaemia3,4818,Wong 2018,29652926,10.1371/journal.pone.0196007,cost,medium,Verified real but is upper bound of unstratified range - disclosed,FOUND_EXACT,4818,ncer except for cancer of digestive organs and perito- neum ($1120) and lymphatic and hematopoietic tissue ($4686). The costs associated with anemia/pallor ranged from $ 3035 to $ 4818 across types of cancer except for cancer of diges- tive organs and peritoneum ($2257) and lymphatic and hematopoiet
c_adrenal,12228,Shaka 2022,35518812,10.1080/08998280.2022.2039503,cost,low,VERIFIED 2026-08-03 Table 2 exact $10006 (2018). Disclose: source says charges in abstract but cost in methods; and MEPS-then-CPI mixed deflator chain.,FOUND_EXACT,12.2,.9% 34.2% 32.6% 31.3% 1 25.6 % 25.9% 23.9% 23.0% 22.6% 21.4% 2 15.0 % 16.0% 15.1% 15.9% 15.2% 14.5% /C21 3 17.2 % 22.4% 25.1% 26.9% 29.6% 32.8% Insurance type Medicaid 9.2 % 12.4% 12.2% 15.4% 18.4% 17.8% Medicare 52.3 % 49.8% 53.5% 50.7% 51.1% 52.4% Private 32.5 % 31.2% 28.2% 29.0% 27.0% 26.1% Unins
c_hypo_annual,350,NONE,,,cost,low,NO SOURCE AT ALL - labelled 'Estimate (low impact)',NO_SOURCE,,
c_infusion_per_visit,133.94,CMS 2026 PFS RVU26A,,,cost,low,CPT 96413; RVU 3.99 x CF 33.5675; verified 2026-06-22,N_A,,
c_pdl1_test,109.01,CMS CLFS 2025,,,cost,low,CPT 88342 global rate - year mismatch with 2026 basis elsewhere,N_A,,
c_pembro_per_cycle,24544.00,Merck WAC March 2026,,,cost,high,WAC 400mg q6w - needs a citable public price source,N_A,,
ptx_price_mg,0.099,CMS Q1 2026 J9267,,,cost,low,ASP payment limit file,N_A,,
bev_price_biosimilar,23.840,CMS Q1 2026 Q5107,,,cost,medium,Mvasi biosimilar per 10mg unit,N_A,,
bev_price_brand,73.632,CMS Q1 2026 J9035,,,cost,low,brand - sensitivity only,N_A,,
c_subsequent_pembro_monthly,0,NONE,,,cost,high,HARDCODED ZERO - STATUS.md wrongly tells Brunetti it is sourced from AURELIA+CMS,NO_SOURCE,,
c_subsequent_placebo_monthly,0,NONE,,,cost,high,HARDCODED ZERO - same; placebo spends more time in PD so zero biases ICER optimistic,NO_SOURCE,,
bsa_assumed,1.70,ASSUMPTION,,,clinical,medium,No source cited - CHEERS requires justification,N_A,,
wt_assumed,65,ASSUMPTION,,,clinical,medium,No source cited - CHEERS requires justification,N_A,,
p_fn_pembro,0.18438,KEYNOTE-B96 Table 2,,,clinical,high,PROXY - grade>=3 neutropenia used as febrile neutropenia; overstates FN,N_A,,
p_fn_placebo,0.13522,KEYNOTE-B96 Table 2,,,clinical,high,PROXY - same,N_A,,
p_anaemia3_pembro,0.11875,KEYNOTE-B96 Table 2,,,clinical,low,38/320,N_A,,
p_anaemia3_placebo,0.07862,KEYNOTE-B96 Table 2,,,clinical,low,25/318,N_A,,
p_adrenal_pembro,0.02188,KEYNOTE-B96 Table 2,,,clinical,low,7/320,N_A,,
p_hypo_pembro,0.18125,KEYNOTE-B96 Table 2,,,clinical,low,58/320,N_A,,
p_hypo_placebo,0.05975,KEYNOTE-B96 Table 2,,,clinical,low,19/318,N_A,,
p_bev_pembro,0.7298,KEYNOTE-B96 Table 1,,,clinical,medium,235/322,N_A,,
p_bev_placebo,0.7352,KEYNOTE-B96 Table 1,,,clinical,medium,236/321,N_A,,
disc_rate_yr,0.03,Second Panel on CEA,,,structural,low,US reference case - Sanders 2016,N_A,,
pembro_cap,18,KEYNOTE-B96 protocol,,,structural,medium,18 cycles - verify against protocol in supplement,N_A,,
n_cycles,260,ASSUMPTION,,,structural,medium,30-year horizon - justify vs 5yr used by comparable published models,N_A,,
pfs_pembro_median,8.3,KEYNOTE-B96,,,clinical,high,published anchor - validation target,N_A,,
pfs_placebo_median,7.2,KEYNOTE-B96,,,clinical,high,published anchor,N_A,,
os_pembro_median,18.2,KEYNOTE-B96,,,clinical,high,published anchor,N_A,,
os_placebo_median,14.0,KEYNOTE-B96,,,clinical,high,published anchor,N_A,,
os_pembro_12mo,0.691,KEYNOTE-B96,,,clinical,high,published anchor,N_A,,
os_placebo_12mo,0.593,KEYNOTE-B96,,,clinical,high,published anchor,N_A,,
os_pembro_18mo,0.515,KEYNOTE-B96,,,clinical,high,published anchor,N_A,,
os_placebo_18mo,0.389,KEYNOTE-B96,,,clinical,high,published anchor,N_A,,
PRIMARY_TRIAL_PDF,NA,KEYNOTE-B96 Colombo 2026 Lancet,41974150,10.1016/S0140-6736(26)00602-1,structural,high,NO LOCAL COPY - the mmc1 supplement we hold is protocol+SAP only and contains NO results. All 29 trial-derived values are unverifiable until the primary paper PDF is obtained.,NO_TEXT,,
